iter	RMSE
0	8870.699392
1	8102.041179
2	7430.524223
3	6826.495623
4	6307.517761
5	5859.97162
6	5469.695511
7	5197.484702
8	4892.698627
9	4626.404475
10	4396.129573
11	4205.12833
12	4075.189405
13	3925.90724
14	3831.896072
15	3746.787663
16	3640.19589
17	3578.887438
18	3500.353219
19	3452.649361
20	3387.2558
21	3350.118982
22	3322.581473
23	3272.635641
24	3250.018755
25	3208.841046
26	3191.612968
27	3175.288284
28	3154.166059
29	3143.339412
30	3121.902995
31	3110.454885
32	3101.40672
33	3082.271977
34	3065.969236
35	3056.670891
36	3049.871596
37	3022.912171
38	3018.186247
39	3005.81139
40	2995.093297
41	2990.769301
42	2986.744627
43	2974.092068
44	2970.857497
45	2956.358559
46	2954.111946
47	2949.393569
48	2947.653796
49	2943.495797
50	2936.299313
51	2933.966892
52	2929.02653
53	2919.43724
54	2913.762605
55	2901.160282
56	2894.089061
57	2890.974239
58	2886.773179
59	2884.562244
60	2876.666579
61	2867.432497
62	2864.700654
63	2858.616879
64	2854.419747
65	2851.734332
66	2840.578742
67	2836.777126
68	2827.885992
69	2826.235835
70	2821.433293
71	2817.031645
72	2814.918155
73	2811.073654
74	2806.220092
75	2803.483924
76	2801.182229
77	2795.54481
78	2794.633935
79	2789.4329
80	2784.985411
81	2784.211628
82	2780.193625
83	2775.361296
84	2771.324349
85	2767.779628
86	2763.652559
87	2762.685989
88	2754.005057
89	2747.94757
90	2746.718755
91	2745.859786
92	2745.473191
93	2741.504617
94	2736.266002
95	2735.578479
96	2734.098636
97	2733.459696
98	2726.445196
99	2721.955066
100	2721.058111
101	2720.652364
102	2719.522717
103	2716.320908
104	2715.547305
105	2714.649198
106	2713.077522
107	2711.490218
108	2710.754714
109	2710.121054
110	2698.85704
111	2693.937669
112	2691.918841
113	2690.804488
114	2690.272667
115	2689.440558
116	2683.178739
117	2677.809021
118	2672.446788
119	2671.691331
120	2668.901011
121	2662.683407
122	2658.780524
123	2658.268282
124	2657.551982
125	2656.79248
126	2656.271772
127	2652.829912
128	2648.669124
129	2643.22944
130	2642.812376
131	2638.158195
132	2637.584963
133	2637.157662
134	2635.886975
135	2632.117751
136	2630.48019
137	2629.92865
138	2625.83956
139	2622.46178
140	2617.657977
141	2614.984614
142	2613.325536
143	2612.904979
144	2609.197166
145	2607.743541
146	2604.227352
147	2602.544507
148	2602.172472
149	2601.726935
150	2601.052306
151	2600.294212
152	2599.749789
153	2589.565678
154	2585.19888
155	2580.392215
156	2572.749933
157	2572.406511
158	2570.743308
159	2570.069469
160	2567.95142
161	2567.351154
162	2563.869125
163	2559.948588
164	2559.552145
165	2554.918056
166	2551.620593
167	2549.170509
168	2545.62664
169	2544.266033
170	2542.393131
171	2535.979606
172	2534.797131
173	2533.074365
174	2529.062916
175	2526.300324
176	2525.270014
177	2522.49703
178	2521.965572
179	2521.623448
180	2521.062988
181	2517.205738
182	2512.951354
183	2511.359278
184	2508.781652
185	2507.791283
186	2506.677471
187	2504.054111
188	2496.136193
189	2495.061635
190	2494.208568
191	2490.66047
192	2488.784495
193	2488.328055
194	2487.886908
195	2486.514538
196	2486.202634
197	2485.84891
198	2484.734622
199	2481.888259
200	2479.158789
201	2478.554589
202	2476.774951
203	2465.588011
204	2464.073564
205	2461.788344
206	2454.937742
207	2452.766795
208	2448.803293
209	2443.333769
210	2434.658503
211	2433.835766
212	2433.186716
213	2431.132489
214	2428.911131
215	2428.227659
216	2427.344602
217	2426.098884
218	2425.062915
219	2423.624566
220	2422.033944
221	2421.373691
222	2421.12778
223	2420.864332
224	2420.462208
225	2419.10983
226	2412.169419
227	2411.587883
228	2409.835469
229	2408.116981
230	2407.762183
231	2407.37159
232	2400.897454
233	2400.08088
234	2399.336478
235	2399.004648
236	2397.594337
237	2397.336763
238	2392.313215
239	2392.066052
240	2391.387885
241	2389.34473
242	2388.333124
243	2385.812207
244	2384.953661
245	2382.630813
246	2382.193848
247	2381.800247
248	2380.937133
249	2380.747855
250	2380.416549
251	2379.42511
252	2377.812827
253	2376.700396
254	2376.298475
255	2370.482841
256	2367.829852
257	2367.522019
258	2366.7811
259	2365.306006
260	2360.160519
261	2359.756665
262	2359.205466
263	2358.181311
264	2357.748798
265	2357.468005
266	2356.679197
267	2355.35201
268	2350.935775
269	2348.700101
270	2348.175184
271	2347.877063
272	2347.425299
273	2346.130378
274	2340.937214
275	2338.875727
276	2338.35308
277	2337.513979
278	2336.668857
279	2334.888801
280	2334.628206
281	2333.637893
282	2329.933052
283	2329.602936
284	2329.245608
285	2328.964466
