iter	Passed	Remaining
0	293	293645
1	421	210260
2	595	197859
3	755	188059
4	1027	204542
5	1177	195051
6	1340	190129
7	1469	182220
8	1586	174648
9	1701	168442
10	1861	167380
11	2017	166072
12	2167	164569
13	2303	162225
14	2461	161628
15	2608	160397
16	2750	159023
17	2886	157485
18	3028	156369
19	3159	154804
20	3280	152921
21	3407	151473
22	3553	150945
23	3694	150261
24	3810	148607
25	3953	148087
26	4075	146879
27	4190	145461
28	4343	145435
29	4454	144035
30	4573	142973
31	4857	146946
32	5042	147752
33	5218	148263
34	5397	148821
35	5576	149334
36	5738	149346
37	5888	149062
38	6003	147942
39	6205	148930
40	6386	149384
41	6526	148869
42	6648	147967
43	6757	146817
44	6868	145766
45	6984	144854
46	7075	143470
47	7162	142064
48	7264	140994
49	7378	140199
50	7477	139137
51	7597	138502
52	7688	137371
53	7799	136633
54	7925	136179
55	8062	135907
56	8213	135877
57	8344	135531
58	8454	134848
59	8591	134603
60	8759	134838
61	8919	134945
62	9071	134923
63	9200	134553
64	9308	133896
65	9439	133582
66	9551	133011
67	9674	132599
68	9816	132445
69	9914	131718
70	10007	130943
71	10127	130529
72	10223	129825
73	10331	129282
74	10632	131136
75	10729	130451
76	10825	129761
77	10965	129620
78	11056	128894
79	11149	128213
80	11245	127587
81	11347	127041
82	11439	126386
83	11563	126099
84	11654	125454
85	11754	124930
86	11876	124639
87	11980	124157
88	12120	124060
89	12261	123979
90	12374	123609
91	12499	123365
92	12596	122851
93	12732	122717
94	12827	122195
95	12920	121667
96	13004	121064
97	13116	120728
98	13205	120180
99	13283	119550
100	13367	118983
101	13452	118437
102	13542	117935
103	13637	117491
104	13741	117126
105	13821	116571
106	13926	116230
107	14083	116319
108	14180	115919
109	14310	115786
110	14454	115768
111	14568	115504
112	14657	115057
113	14780	114873
114	15050	115826
115	15160	115534
116	15272	115260
117	15421	115266
118	15564	115228
119	15709	115200
120	15911	115588
121	16010	115226
122	16115	114908
123	16207	114499
124	16308	114157
125	16394	113720
126	16523	113580
127	16613	113180
128	16739	113025
129	16865	112872
130	16973	112597
131	17087	112362
132	17188	112051
133	17294	111770
134	17374	111323
135	17489	111109
136	17587	110787
137	17715	110654
138	17829	110437
139	17935	110175
140	18069	110085
141	18208	110021
142	18321	109798
143	18454	109703
144	18572	109514
145	18698	109372
146	18810	109149
147	18956	109126
148	19060	108864
149	19180	108687
150	19317	108610
151	19417	108328
152	19529	108111
153	19624	107808
154	19736	107595
155	19860	107448
156	19979	107278
157	20075	106983
158	20171	106692
159	20278	106463
160	20377	106189
161	20490	105994
162	20583	105696
163	20718	105614
164	20820	105362
165	20924	105129
166	21057	105033
167	21194	104963
168	21337	104921
169	21440	104680
170	21582	104631
171	21716	104544
172	21830	104356
173	21950	104203
174	22066	104025
175	22183	103859
176	22308	103728
177	22455	103696
178	22569	103517
179	22678	103314
180	22765	103008
181	22911	102976
182	23026	102799
183	23143	102637
184	23254	102446
185	23339	102141
186	23455	101977
187	23555	101740
188	23659	101522
189	23784	101395
190	23900	101232
191	24063	101268
192	24204	101205
193	24324	101058
194	24441	100900
195	24563	100762
196	24689	100637
197	24802	100461
198	24927	100335
199	25050	100200
200	25172	100062
201	25286	99893
202	25396	99710
203	25545	99677
